datetime,department,name
 2018/04/11 10:28 ,,智能定点投篮学习机
 2018/04/10 16:15 ,叶培大创新创业学院,仰视阅读椅
 2018/04/10 09:25 ,人文学院,头号学习家
 2018/04/10 09:18 ,,猜你喜欢？-位置社交网络中的用户兴趣地点推荐
 2018/04/27 20:06 ,国际学院,声音识别
 2018/04/27 19:54 ,理学院,基于明室操作白光再现的象面全息照相研究
 2018/04/27 19:47 ,,基于ROS的讲解机器人
 2018/04/27 19:44 ,理学院,基于明室操作白光再现的菲涅尔透射全息照相研究
 2018/04/27 15:29 ,,基于ROS的自动巡视机器人
 2018/04/27 14:53 ,人文学院,实验室智能化管理系统
 2018/04/27 12:19 ,信息与通信工程学院,利用碎片化时间学习编程的个性化学习系统
 2018/04/27 12:03 ,经济管理学院,“北邮市场营销专业”微信公众号运营及教育类微信公众号传播主题研究
 2018/04/27 09:57 ,经济管理学院,煤矿安全生产额度的实时监控系统
 2018/04/27 09:37 ,经济管理学院,企业货币在山西介休智慧物流园区的应用
 2018/04/24 13:29 ,感知技术与产业研究院,移动计算平台上的3D视觉感知技术
 2018/04/23 18:09 ,计算机学院,三栖多功能机器人的设计与实现
 2018/04/23 12:03 ,理学院,园区道路视觉语义分割标准化数据集合
 2018/04/23 11:44 ,理学院,激光诱导击穿光谱(LIBS)算法优化与软件设计
 2018/04/23 09:44 ,信息与通信工程学院,物联网保密文件柜研发
 2018/04/21 02:09 ,计算机学院,新时代文化自信背景下历史英雄的数字媒体艺术创新与实践
 2018/04/21 01:49 ,国际学院,“互联网＋”背景下提升英雄历史认同的数字媒体艺术实践与研究
 2018/04/20 15:49 ,感知技术与产业研究院,基于机器学习算法的图像超分辨系统的设计与实现
 2018/04/18 11:27 ,经济管理学院,大学生实习招聘平台的开发
 2018/04/17 10:53 ,叶培大创新创业学院,邮你邮我——北邮人的素材库
 2018/05/01 11:47 ,马克思主义学院,（雏雁项目）高校红色资源融入思政课问题研究—以北京邮电大学为例
 2018/05/01 11:11 ,电子工程学院,基于深度学习的姿态识别系统研发
 2018/05/01 10:46 ,电子工程学院,基于舌相和脉搏信号关联度的人体自主神经系统分析方法研究
 2018/04/29 20:23 ,,智能运动装备及其软件系统
 2018/04/29 19:30 ,,基于深度学习的人脸表情识别
 2018/04/28 13:56 ,,便携式能量回收装置
 2018/04/28 11:34 ,,基于语义标签的视频理解系统
 2018/04/28 11:30 ,,基于图像的三维模型重建系统
 2018/04/28 11:26 ,,基于知识图谱的软件工程学科在线学习平台
 2018/04/27 21:25 ,理学院,大面积柔性日盲探测器件制备研究
 2018/04/27 09:08 ,经济管理学院,双语综合文献综述手机App
 2018/04/27 08:57 ,经济管理学院,独角兽公司非研发创新模式的探索性研究
 2018/04/26 22:05 ,经济管理学院,考虑信息发布内容的政府网站绩效评估研究
 2018/04/26 21:35 ,,用户在线状态APP及其云系统 （第三期）
 2018/04/26 19:09 ,,基于深度学习的智能场景识别系统的研究与实现
 2018/04/26 16:02 ,经济管理学院,某某建筑设计研究院知识管理案例研究
 2018/04/26 15:50 ,经济管理学院,“北邮营销课程”微信公众号运营及影响力研究
 2018/04/25 16:36 ,,面向“芯片实验室”的智能微流体操控系统
 2018/04/25 16:26 ,网络空间安全学院,基于代理签名的可信三方销售平台
 2018/04/25 16:22 ,,垃圾分拣清扫机器人
 2018/04/25 16:19 ,网络空间安全学院,“走向社会的第一步”app开发
 2018/04/25 14:25 ,人文学院,Doublez！——法语趣味配音APP（二期）
 2018/04/25 12:52 ,电子工程学院,光学温度纳米传感器的制备及应用
 2018/04/25 10:58 ,叶培大创新创业学院,图书馆的记忆旅行
 2018/04/24 19:55 ,经济管理学院,垃圾分类小程序
 2018/04/24 16:25 ,数字媒体与设计艺术学院,红色之旅精准扶贫专项-长顺特色农产品的形象与包装设计
 2018/04/24 16:09 ,人文学院,日语假名汉字描红卡的开发和设计
 2018/04/24 16:07 ,人文学院,“大福匣子”日语教育app的开发与设计
 2018/04/24 15:27 ,人文学院,你的大学英语实验够炫酷吗？
 2018/04/24 14:53 ,人文学院,北邮人舆情通
 2018/05/02 12:38 ,,楼梯清扫智能机器人
 2018/05/02 11:38 ,感知技术与产业研究院,5D光场调制成像方法研究
 2018/05/02 11:26 ,感知技术与产业研究院,基于混沌系统和分数变换的图像加密系统设计与实现
 2018/05/02 11:03 ,国际学院,基于中外合作办学的教学质量评价平台
 2018/05/02 10:17 ,信息与通信工程学院,新型加密传感器模块研发
 2018/05/02 09:48 ,感知技术与产业研究院,基于深度学习的简笔画检索
 2018/05/02 09:46 ,经济管理学院,长顺县域公共电商品牌的打造和推广
 2018/05/03 13:44 ,经济管理学院,基于稳健原则的上市公司会计盈余偏差研究
 2018/05/03 10:36 ,国际学院,智能衣柜
 2018/05/03 09:15 ,经济管理学院,基于随机利率模型的衍生品定价研究
 2018/05/03 08:58 ,经济管理学院,信息不对称对股权定价的影响研究
 2018/05/02 22:57 ,,基于人工智能的实时人脸特质识别及显示
 2018/05/02 18:52 ,电子工程学院,声音源定位系统
 2018/05/02 15:30 ,,针对儿童腺样体肥大的面部诊断研究
